start,duration,value
2019-12-07T00:06:00+01:00,"[60,60]","[0.272,0.123]"
2019-12-07T00:19:00+01:00,"[60,60,60,60,60]","[1.015,1.015,1.015,1.04,0.198]"
2019-12-07T02:30:00+01:00,[60],[0.198]
2019-12-07T03:47:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[1.956,1.956,1.956,1.956,1.956,1.981,1.981,1.981,1.981,1.981,0.792,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.346,0.643,0.643,0.643,0.668,0.123]"
2019-12-07T06:22:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0.594,0.594,0.594,0.594,0.594,0.619,0.619,0.619,0.619,0.619,0.619,0.569,0.569,0.569,0.594,0.495]"
2019-12-07T06:45:00+01:00,"[60,60,60,60,60]","[0.198,0.198,0.222,0.222,0.049]"
2019-12-07T06:56:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0.173,0.173,0.173,0.173,0.173,0.173,0.198,0.198,0.198,0.148,0.148,0.148,0.173,0.173,0.173]"
2019-12-07T08:55:00+01:00,[60],[0.569]
2019-12-07T09:09:00+01:00,"[60,60,60,60,60,60,60,60,60]","[0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.198,0.123]"
2019-12-07T09:28:00+01:00,"[60,60,60]","[1.857,1.882,0.099]"
