start,duration,value
2019-12-08T19:47:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[58.235,58.235,58.235,58.235,58.235,58.235,58.235,58.235,58.235,58.981,41.063,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,1.493,48.529,49.275,49.275,49.275,49.275,49.275,49.275,49.275,49.275,49.275,70.927,74.66,74.66,74.66,75.407,56.741]"
2019-12-09T02:19:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[4.479,5.226,5.226,5.226,5.226,5.226,5.226,5.226,5.226,5.226,1.493]"
2019-12-09T02:40:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[62.714,62.714,62.714,62.714,62.714,62.714,63.461,63.461,63.461,63.461,51.515]"
2019-12-09T02:54:00+01:00,[60],[5.972]
2019-12-09T03:14:00+01:00,[60],[6.719]
2019-12-08T19:47:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[58.235,58.235,58.235,58.235,58.235,58.235,58.235,58.235,58.235,58.981,41.063,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.171,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,17.918,1.493,48.529,49.275,49.275,49.275,49.275,49.275,49.275,49.275,49.275,49.275,70.927,74.66,74.66,74.66,75.407,56.741]"
2019-12-09T02:19:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[4.479,5.226,5.226,5.226,5.226,5.226,5.226,5.226,5.226,5.226,1.493]"
2019-12-09T02:40:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[62.714,62.714,62.714,62.714,62.714,62.714,63.461,63.461,63.461,63.461,51.515]"
2019-12-09T02:54:00+01:00,[60],[5.972]
2019-12-09T03:14:00+01:00,[60],[6.719]
